X_1,X_2,D_1,D_2,C_1,C_2,I_V,Y
-0.43766751660353287,0.64338960917818,1.1706959919961588,0.4070764531507646,-2650.4376675166036,2550.669650409553,-3.4456512644336152,-0.5764782887064377
0.5756353834302134,1.0207203524537227,0.0765817241518051,0.8125953629760183,-2374.4303608184805,2326.0098616253,-2.8469924796966386,0.077075234491325
0.615924927666768,0.7081640434649626,-0.8053644765591712,-0.1675121498674356,-2599.2960857969524,2325.6213137362474,-2.7244450722156626,-0.044578824238586105
-0.7057759237668086,-0.07544428800492561,-0.5804680842556383,0.05255861161708015,-2325.6630016253566,2624.9223367623476,-2.941615963472725,-0.847291089339929
0.057245100124247814,0.42789952681997745,-0.22674690930741295,-0.5308586442256611,-2624.9427548998756,2725.4528257128486,-2.4975273337643613,-0.34456925739735356
-0.5586882695326931,-0.22851916797369623,-0.6782870004215017,-0.3036621154822255,-2525.606747475514,2724.7405355280303,-2.5854381106343216,-0.7986309354959022
-0.8131209182513464,-1.32301228705167,1.920991383960499,-0.16144300399371048,-2675.7982012683756,2448.765188532085,-2.6321814590594124,-1.3672290105964309
-0.34868611099528146,0.4375276472285483,-2.0326665483124584,-0.21235918892510589,-2675.3454575358937,2250.3977524065717,-2.185306276112048,-0.42832473785466163
-0.2830706679396763,1.5927965956623582,0.045619299349410246,-0.6526433549821625,-2625.3002264659967,2301.5756697505476,-2.1749466031019637,0.08434933334073652
-0.6067917723929399,0.21400073715986548,0.38369399417544964,0.561577405833287,-2550.6127996117234,2250.192600663444,-2.4184419218028266,-0.661772470618131
0.9535040808047927,-2.6977769965578857,-0.4787221753060516,-0.697595786587549,-2574.0734818837464,2297.6135049645836,-2.122653576017817,-1.0435360511435336
0.02464115961429572,0.29984225691381877,-1.2052373516551353,0.3133946366967583,-2624.9718769373967,2250.299842256914,-2.4851751932206625,-0.33385998261797745
0.17317624842407361,-0.47511407440977843,-0.8279435546506596,-0.5248214528415583,-2674.821828282871,2499.551779175085,-2.3707250262874475,-0.5344752951051066
-0.03729888954506013,-1.3489040734440998,-2.5334338837365946,0.3641520048689336,-2250.0342540822353,2473.740174497444,-2.403869212088217,-0.9191363900990513
0.8805866238364499,-2.1329104791172817,-1.7318304433378302,-0.3873395281904839,-2599.1520276955653,2323.128672881529,-2.035712571674226,-0.8427856175926346
-0.3475279994221097,-0.8502805887701766,0.42210869504869586,1.1057280895840567,-2700.3574573708343,2349.200736246556,-2.1370824960890005,-0.8993747868669969
